FILE;LOC;COM;BLK;NOF;NOC;APF;AMC;NER;NEH;CYC;MAD;BUG
./scikit-learn/sklearn/pipeline.py;1593;75;360;68;2;1.94;29.5;10;5;135;23;1
./scikit-learn/sklearn/dummy.py;569;13;131;12;2;2.42;6.0;8;0;54;15;1
./scikit-learn/sklearn/kernel_ridge.py;196;4;41;5;1;2.4;5.0;0;0;9;11;1
./scikit-learn/sklearn/_config.py;296;2;77;4;0;2.5;0.0;0;0;13;8;1
./scikit-learn/sklearn/discriminant_analysis.py;871;42;190;20;2;2.85;8.5;10;0;50;12;1
./scikit-learn/sklearn/isotonic.py;399;37;99;14;1;2.14;12.0;1;0;24;11;1
./scikit-learn/sklearn/impute/__init__.py;19;4;6;1;0;1.0;0.0;2;0;3;8;1
./scikit-learn/sklearn/impute/_knn.py;324;25;77;6;1;2.5;5.0;0;0;13;14;0
./scikit-learn/sklearn/impute/_base.py;907;58;187;26;3;2.38;8.0;16;1;113;16;1
./scikit-learn/sklearn/impute/_iterative.py;804;26;156;13;1;3.0;12.0;3;0;53;13;1
./scikit-learn/sklearn/impute/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/impute/tests/test_base.py;79;0;28;14;4;1.93;2.0;0;0;10;9;0
./scikit-learn/sklearn/impute/tests/test_impute.py;1459;124;329;77;1;1.29;3.0;0;0;66;12;0
./scikit-learn/sklearn/impute/tests/test_knn.py;445;29;102;18;0;1.39;0.0;0;0;6;9;0
./scikit-learn/sklearn/impute/tests/test_common.py;182;12;38;9;0;1.56;0.0;0;0;5;11;0
./scikit-learn/sklearn/gaussian_process/_gpc.py;760;68;142;14;2;2.57;6.5;12;0;52;17;0
./scikit-learn/sklearn/gaussian_process/__init__.py;12;4;3;0;0;0.0;0.0;0;0;1;3;1
./scikit-learn/sklearn/gaussian_process/kernels.py;1992;57;421;106;18;1.99;5.67;15;0;137;16;1
./scikit-learn/sklearn/gaussian_process/_gpr.py;566;71;103;8;1;3.0;7.0;7;2;56;13;1
./scikit-learn/sklearn/gaussian_process/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/gaussian_process/tests/test_kernels.py;327;57;61;18;0;0.78;0.0;0;0;29;11;0
./scikit-learn/sklearn/gaussian_process/tests/test_gpc.py;228;17;56;15;0;1.2;0.0;0;0;8;11;1
./scikit-learn/sklearn/gaussian_process/tests/_mini_sequence_kernel.py;43;0;11;7;1;2.57;7.0;0;0;5;13;0
./scikit-learn/sklearn/gaussian_process/tests/test_gpr.py;669;67;180;37;1;0.84;1.0;0;0;28;12;1
./scikit-learn/sklearn/experimental/__init__.py;6;0;1;0;0;0.0;0.0;0;0;1;2;1
./scikit-learn/sklearn/experimental/enable_hist_gradient_boosting.py;16;2;5;0;0;0.0;0.0;0;0;1;5;1
./scikit-learn/sklearn/experimental/enable_iterative_imputer.py;15;1;5;0;0;0.0;0.0;0;0;1;4;0
./scikit-learn/sklearn/experimental/enable_halving_search_cv.py;24;1;8;0;0;0.0;0.0;0;0;1;4;0
./scikit-learn/sklearn/experimental/tests/__init__.py;0;0;0;0;0;0.0;0.0;0;0;1;0;0
./scikit-learn/sklearn/experimental/tests/test_enable_successive_halving.py;43;5;10;1;0;0.0;0.0;0;0;1;7;1
./scikit-learn/sklearn/experimental/tests/test_enable_iterative_imputer.py;41;5;10;1;0;0.0;0.0;0;0;1;7;1
./scikit-learn/sklearn/experimental/tests/test_enable_hist_gradient_boosting.py;14;0;5;1;0;0.0;0.0;0;0;1;7;1
./scikit-learn/sklearn/tests/test_discriminant_analysis.py;557;92;121;26;1;0.73;1.0;0;0;23;14;0
./scikit-learn/sklearn/tests/test_dummy.py;533;39;177;44;0;1.0;0.0;0;0;20;11;0
