,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
538,./scikit-learn/sklearn/utils/tests/test_bunch.py,24,2,8,1,0,0.0,0.0,0,0,3,7,0
539,./scikit-learn/sklearn/utils/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
542,./scikit-learn/sklearn/utils/tests/test_fixes.py,147,22,15,5,0,2.2,0.0,0,0,2,13,0
543,./scikit-learn/sklearn/utils/tests/test_utils.py,18,4,9,3,0,0.0,0.0,0,0,5,7,0
544,./scikit-learn/sklearn/utils/tests/test_missing.py,24,2,3,1,0,2.0,0.0,0,0,1,8,0
547,./scikit-learn/sklearn/utils/tests/test_plotting.py,54,27,9,4,0,1.75,0.0,0,0,1,9,0
548,./scikit-learn/sklearn/utils/tests/test_fast_dict.py,35,3,12,3,0,0.0,0.0,0,0,3,9,0
550,./scikit-learn/sklearn/utils/tests/test_show_versions.py,29,0,11,3,0,0.33,0.0,0,0,4,7,0
551,./scikit-learn/sklearn/utils/tests/test_mask.py,14,0,5,1,0,1.0,0.0,0,0,1,8,0
553,./scikit-learn/sklearn/utils/tests/test_cython_templating.py,16,1,6,1,0,0.0,0.0,0,0,3,9,0
